Text,Latitude,Longitude,Altitude,Type
"Palm Springs, CA, USA",33.830278,-116.545278,0,city
"Río Piedras, Puerto Rico",18.399722,-66.05,0,city
"Christiansted, St. Croix, U.S. Virgin Islands",17.75,-64.75,0,city
"St. Thomas, U.S. Virgin Islands",18.333333,-64.916667,0,city
"South Hadley, MA, USA",42.258333,-72.575,0,city
"Farmville, VA, USA",37.297778,-78.395833,0,city
"Charlottesville, VA, USA",38.0299,-78.479,0,city
"Sweet Briar, VA, USA",37.555556,-79.080556,0,city
"Chapel Hill, NC, USA",35.913139,-79.055806,0,city
"Salisbury, NC, USA",35.668333,-80.478611,0,city
"Statesboro, GA, USA",32.445278,-81.779167,0,city
"Tampa, FL, USA",27.9475,-82.458611,0,city
"Fort Wayne, IN, USA",41.080556,-85.139167,0,city
"Delaware, OH, USA",40.298889,-83.071944,0,city
"Trenton, MI, USA",42.139444,-83.178333,0,city
"Ypsilanti, MI, USA",42.242778,-83.618333,0,city
"Slippery Rock, PA, USA",41.063611,-80.055,0,city
"Williamsport, PA, USA",41.244444,-77.018611,0,city
"Union, NJ, USA",40.695266,-74.269078,0,city
"Bedford, NY, USA",41.225833,-73.665,0,city
"Red Bank, NJ, USA",40.348722,-74.066528,0,city
"Deer Park, NY, USA",40.761667,-73.329167,0,city
"Westport, CT, USA",41.123333,-73.346944,0,city
"Casablanca, Morocco",33.533333,-7.583333,0,city
"Meknès, Morocco",33.895,-5.554722,0,city
"Safi, Morocco",32.283333,-9.233333,0,city
"Algiers, Algeria",36.653889,3.058889,0,city
"Oran, Algeria",35.696944,-0.633056,0,city
"Hammamet, Tunisia",36.4,10.616667,0,city
"Carthage, Tunisia",36.85,10.316667,0,city
"Sfax, Tunisia",34.74,10.76,0,city
"Zaporozhye, Russia, U.S.S.R.",47.85,35.1175,0,city
"Donetsk, Ukraine, U.S.S.R.",48.002778,37.805278,0,city
"Kiev, Ukraine, U.S.S.R.",50.45,30.523333,0,city
"Voroshilovgrad, Ukraine, U.S.S.R.",48.566667,39.333333,0,city
"Moscow, Russia, U.S.S.R.",55.755833,37.617222,0,city
"Leningrad, Russia, U.S.S.R.",59.9375,30.308611,0,city
"Indiana, PA, USA",40.616667,-79.15,0,city
"New Wilmington, PA, USA",41.120833,-80.332778,0,city
"Richmond, IN, USA",39.830278,-84.890556,0,city
"Kirksville, MO, USA",40.194722,-92.583333,0,city
"Liberty, MO, USA",39.240833,-94.426389,0,city
"St. Cloud, MN, USA",45.55,-94.166667,0,city
"Northfield, MN, USA",44.458333,-93.161111,0,city
"Cedar Falls, IA, USA",42.52352,-92.446402,0,city
"Grinnell, IA, USA",41.743611,-92.724722,0,city
"Highland Park, IL, USA",42.1825,-87.806944,0,city
"Kent, CT, USA",41.731667,-73.4525,0,city
"Kingston, RI, USA",41.483333,-71.533333,0,city
"Providence, RI, USA",41.823611,-71.422222,0,city
"Wellesley, MA, USA",42.296389,-71.293056,0,city
"Middletown, NY, USA",41.45,-74.416667,0,city
"Bridgeport, CT, USA",41.186389,-73.195556,0,city
"Brooklyn, NY, USA",40.692778,-73.990278,0,city
"Holmdel, NJ, USA",40.374964,-74.173849,0,city
"Cupertino, CA, USA",37.323056,-122.031944,0,city
"Hamilton, Bermuda",32.293,-64.782,0,city
"Ridgewood, NJ, USA",40.981591,-74.113506,0,city
"Shrub Oak, NY, USA",41.330278,-73.829722,0,city
"Hampton, VA, USA",37.034946,-76.360126,0,city
"Winston-Salem, NC, USA",36.102764,-80.260492,0,city
"Ripon, WI, USA",43.845,-88.839722,0,city
"McAllen, TX, USA",26.216389,-98.236389,0,city
"Galveston, TX, USA",29.281111,-94.825833,0,city
"Jackson, MI, USA",42.244167,-84.407222,0,city
"Moorhead, MN, USA",46.873889,-96.767222,0,city
"Winnipeg, Manitoba, Canada",49.884444,-97.146389,0,city
"Newark, DE, USA",39.683611,-75.749722,0,city
"Madison, NJ, USA",40.758044,-74.417807,0,city
"Brunswick, ME, USA",43.910833,-69.963056,0,city
"Portland, ME, USA",43.66,-70.255,0,city
"Great Neck, NY, USA",40.802778,-73.731389,0,city
"Oneida, NY, USA",43.085,-75.653333,0,city
"Towson, MD, USA",39.393056,-76.609444,0,city
"Wayne, NJ, USA",40.945855,-74.245077,0,city
"Williamstown, MA, USA",42.711944,-73.204167,0,city
"Frankfort, KY, USA",38.2,-84.866667,0,city
"Lafayette, IN, USA",40.417222,-86.878611,0,city
"Macomb, IL, USA",40.460503,-90.674047,0,city
"Allendale, MI, USA",42.972222,-85.953611,0,city
"Niagara, NY, USA",43.116111,-78.989444,0,city
"Fredonia, NY, USA",42.440833,-79.333889,0,city
"Tehran, Iran",35.689167,51.388889,0,city
"Baalbek, Lebanon",34.006336,36.207322,0,city
"Palo Alto, CA, USA",37.429167,-122.138056,0,city
"Tacoma, WA, USA",47.241389,-122.459444,0,city
"Fort Collins, CO, USA",40.559167,-105.078056,0,city
"Trenton, NJ, USA",40.223841,-74.763624,0,city
"Greenwich, CT, USA",41.038889,-73.613611,0,city
"Timișoara, Socialist Republic of Romania",45.759722,21.23,0,city
"Zagreb, Socialist Federal Republic of Yugoslavia",45.816667,15.983333,0,city
"Split, Socialist Federal Republic of Yugoslavia",43.51,16.44,0,city
"Dubrovnik, Socialist Federal Republic of Yugoslavia",42.640278,18.108333,0,city
"Hackensack, NJ, USA",40.889398,-74.045698,0,city
"New Brunswick, NJ, USA",40.486678,-74.444414,0,city
"East Brunswick, NJ, USA",40.426249,-74.418244,0,city
"Middlebury, VT, USA",44.001944,-73.145556,0,city
"Johnson, VT, USA",44.643889,-72.681111,0,city
"Rutland, VT, USA",43.63,-72.98,0,city
"Glassboro, NJ, USA",39.700096,-75.111423,0,city
