Place,Venues,Repertory
"Bogotá, Colombia",Teatro Colon; Colonsubsidos Theater; Coliseo el Campin,Memoria; The Still Point; Phases; The River; Night Creature; Revelations; Treading; Cry
"Boone, NC, USA","Farthing Auditorium, Appalachian State University",Suite Otis; The Stack-Up; Blues Suite; Revelations
"Bordeaux, France",Palais des Sports,Suite Otis; Cry; Blues Suite; The Stack-Up; Night Creature; Revelations; Treading; Divining; Caverna Magica
"Boston, MA, USA","Metropolitan Center, Boston University; Public Gardens; John Hancock Hall, Boston University; Wang Center for the Performing Arts; Colonial Theatre; Orpheum Theater, Boston University; Music Hall",Spectrum; Masekela Langage; Journey; Dance for Six; Shards; The Road of the Phoebe Snow; Concerto in F; Nubian Lady; Pigs and Fishes; Liberian Suite; To Jose Clemente Orozco; Streams; Research; Satyriade; After Eden; Gazelle; Flowers; Anjour: Ruminations on Dudley; Cry; Landscape; Feast of Ashes; For 'Bird' - With Love; Tilt; Night Shade; Memoria; Fire Sermon; Precipice; Opus McShann; Icarus; Archipelago; Portrait of Billie; Caverna Magica; Myth; Congo Tango Palace; Bad Blood; The River; Places; Inside; Choros; Revelations; Metallics; Collage; Divining; Time Out of Mind; The Prodigal Prince; Witness; The Stack-Up; Lullaby for a Jazz Baby; Butterfly; How Long Have It Been; Tell It Like It Is; Kinetic Molpai; Choral Dances; Fever Swamp; Fontessa and Friends; Roots of the Blues; Later That Day; Sonnets; Suite Otis; Fanga; Crossword; Blood Memories; Rainbow 'Round My Shoulder; Hidden Rites; The Magic of Katherine Dunham; Songs Without Words; Toccata; The Still Point; Speeds; Night Creature; Mary Lou's Mass; Missa Brevis; Love Songs; The Lark Ascending; Treading; Survivors; Vespers; The Time Before the Time After (After the Time Before); Echoes in Blue; Phases; Isba; Hobo Sapiens; Facets; Carmina Burana; Les Noces; Blues Suite; Seven Journeys; How to Walk an Elephant
"Bratislava, Czechoslovak Socialist Republic",National Theater,Suite Otis; The Time Before the Time After (After the Time Before); Love Songs; Streams; Revelations; Tilt; Myth
"Bremen, Germany",,
"Bridgeport, CT, USA",Klein Memorial Auditorium,Icarus; Revelations; Journey; Blues Suite; Toccata
"Brisbane, Australia",Lyric Theatre,Suite Otis; Memoria; Speeds; The Stack-Up; Night Creature; Revelations; Treading; Fontessa and Friends; Concerto in F; Divining; Cry
"Brno, Czechoslovak Socialist Republic",Janáček Theater,Suite Otis; The Time Before the Time After (After the Time Before); Myth; Night Creature; Love Songs
"Brockport, NY, USA","Hartwell Auditorium, State University College of New York Brockport",
"Brooklyn, NY, USA",Bethany Methodist Church; Brooklyn Academy of Music; New York City Community College,The Prodigal Prince; Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Brunswick, ME, USA","Gymnasium, St. Francis College; Bowdoin College",
"Brussels, Belgium","Opera House; Centre Culturel d'Uccle; Paleis Voor Schone Kunsten, Palais des Beaux-Arts",Cry; The Road of the Phoebe Snow; Blues Suite; Bad Blood; The Mooche; Reflections in D; Carmina Burana; Night Creature; Streams; Revelations; Caverna Magica; Love Songs
"Bucharest, Socialist Republic of Romania","Great Hall, Palace; Sala Palatului",Suite Otis; Gazelle; The Lark Ascending; Blues Suite; Night Creature; Carmina Burana; Rainbow 'Round My Shoulder; Revelations; Dance for Six; Cry; Toccata; Love Songs
"Budapest, Hungary",Budai Parkszinpad; Erkel Theater,Suite Otis; Fanga; Cry; The Lark Ascending; Gazelle; Carmina Burana; Night Creature; Rainbow 'Round My Shoulder; Streams; Revelations; Dance for Six; Flowers; Kinetic Molpai; Blues Suite; Missa Brevis; Tilt; Love Songs
"Buenos Aires, Argentina",Teatro Colon,Memoria; The Still Point; The Lark Ascending; Night Creature; Rainbow 'Round My Shoulder; Revelations; Treading; Concerto in F; Cry; Love Songs
"Buffalo, NY, USA","Shea's Buffalo Theatre; Woodlawn Junior High School; State University of New York Buffalo; Summer Festival of Performing Arts, University of Buffalo; Canisius High School Theater Auditorium; Artpark Theater; Niagara Community College; Kleinhans Music Hall",Gazelle; Spectrum; Witness; The Mooche; The Stack-Up; Night Creature; Mingus; Butterfly; The Beloved; Flowers; Cry; The Lark Ascending; The Road of the Phoebe Snow; Treading; Fontessa and Friends; Concerto in F; Variegations; Tilt; Fire Sermon; Memoria; Phases; Echoes in Blue; Clear Songs After Rain; Myth; Suite Otis; Liberian Suite; Three Black Kings; Bad Blood; The River; Reflections in D; Pas de Duke; Streams; Revelations; Gillespiana; Divining; Blues Suite
"Burlington, VT, USA","Flynn Theatre; Memorial Auditorium, University of Vermont",Speeds; Blues Suite; Bad Blood; The Wedding; The Stack-Up; Missa Brevis; Treading; Divining; Caverna Magica; Vespers; Love Songs
"Caesarea, Israel",Roman Amphitheater,The Prodigal Prince; The Stack-Up; Night Creature; Cry; Love Songs; Landscape; Treading; Fontessa and Friends; Concerto in F; Memoria; Pigs and Fishes; Caverna Magica; Suite Otis; Bad Blood; Reflections in D; Streams; Revelations; Satyriade; Divining; Blues Suite; Toccata
"Caltanissetta, Italy",Grad S. Francesco,Suite Otis; Treading; Night Creature; Revelations
"Cambridge, MA, USA",Ridge Tech Auditorium; Loeb Drama Center,Lament; The Road of the Phoebe Snow; Congo Tango Palace; Blues Suite; Reflections in D; Icarus; Revelations; Journey; Metallics; The Black Belt; Hermit Songs; Knoxville: Summer of 1915; Quintet; Toccata
"Cannes, France",Theatre du Fort; Grand Auditorium; Palais de Festival,Gazelle; Spectrum; Night Creature; Butterfly; Cry; Love Songs; Landscape; Treading; Concerto in F; For 'Bird' - With Love; Memoria; The Time Before the Time After (After the Time Before); Phases; Pigs and Fishes; Sonnets; Sunrise... Sunset; The River; Streams; Revelations; Blues Suite
"Carcassonne, France",Grand Theatre de la Cite,Treading; Seven Journeys; Streams; Revelations
"Carpentras, France",Theatre de Plein Air,The Stack-Up; Cry; Streams; Revelations
"Carthage, Tunisia",Theatre Romain de Carthage,The Prodigal Prince; Icarus; Streams; Revelations; Journey; Blues Suite; Toccata
"Casablanca, Morocco",Municipal Theater,Icarus; Revelations; Journey; Dance for Six; Toccata
"Catania, Italy",Theatro Metropolitan,Caverna Magica; Concerto in F; Revelations
"Cebu City, Philippines",Azner Memorial Coliseum,Mountainway Chant; Been Here and Gone; Cinco Latinos; Revelations; The Beloved
"Cedar Falls, IA, USA",University of Northern Iowa,Icarus; Streams; Revelations; Dance for Six; Flowers; Child of the Earth; Toccata
"Chapel Hill, NC, USA","Memorial Hall, University of North Carolina Chapel Hill",Masekela Langage; Icarus; Revelations; Hermit Songs; Toccata
"Charleston, SC, USA",Gaillard Municipal Auditorium,Suite Otis; Gazelle; District Storyville; Fire Sermon; Night Creature; Revelations; Streams; Butterfly; Mingus; Cry; Tilt; Myth
