Place,Venues,Repertory
"Luxembourg, Luxembourg",Theatre Municipal,Suite Otis; Gazelle; Sunrise... Sunset; The Road of the Phoebe Snow; Myth; The Time Before the Time After (After the Time Before); Blues Suite; Night Creature; Streams; Revelations; Butterfly; Hermit Songs; Cry; Toccata; Love Songs
"Lyon, France",Theatre Romain de Fourviere,Cry; Concerto in F; Night Creature; Revelations
"Macomb, IL, USA","Western Hall, Western Illinois University; University Union, Western Illinois University",Streams; Revelations; Clear Songs After Rain; Kinetic Molpai; Blues Suite
"Madison, NJ, USA","Fairleigh Dickinson University, Florham-Madison Campus; Dreyfuss College Auditorium, Fairleigh Dickinson University; Baldwin Auditorium, Drew University",Blues Suite; Streams; Revelations
"Madison, WI, USA","Oscar Mayer Theater; Union Theater, University of Wisconsin Madison; Madison Civic Center",Spectrum; The Still Point; Time Out of Mind; Speeds; The Prodigal Prince; The Stack-Up; Night Creature; Cry; The Lark Ascending; Treading; Concerto in F; Light; Phases; Pigs and Fishes; Icarus; Suite Otis; The River; Reflections in D; Revelations; Gillespiana; Hermit Songs; Divining; Blues Suite
"Madrid, Spain",Palacio de Expositione y Congresso; Teatro de la Zarzuela,Suite Otis; Cry; Blues Suite; Bad Blood; The Mooche; The Stack-Up; Night Creature; Carmina Burana; Streams; Revelations; Treading; The Magic of Katherine Dunham; Divining; Caverna Magica; Love Songs
"Mandalay, Burma",,Mountainway Chant; Been Here and Gone; Revelations; Gillespiana; The Beloved; Roots of the Blues
"Manhattan, KS, USA","McCain Auditorium, Kansas State University",The Lark Ascending; Carmina Burana; Revelations; Night Creature; After Eden; Cry; Love Songs
"Manila, Philippines",Araneta Coliseum,Mountainway Chant; Gillespiana; Roots of the Blues; Revelations
"Mankato, MN, USA",Mankato High School Auditorium,Revelations; Quintet; Blues Suite
"Mannheim, Germany",Nationaltheater,
"Matsudo, Japan",Seitoku Gakuen Kawanami Memorial Hall,Love Songs; Divining; Speeds; Revelations
"McAllen, TX, USA",McAllen Civic Center,Cry; Flowers; Blues Suite; Revelations
"Meknès, Morocco",Cinema Rif,Reflections in D; Icarus; Revelations; Blues Suite; Toccata
"Melbourne, Australia","The State Theatre, Victorian Arts Centre; Princess Theatre; Comedy Theatre",Speeds; The Stack-Up; Night Creature; The Beloved; Cry; Lament; The Road of the Phoebe Snow; Treading; Fontessa and Friends; Roots of the Blues; Concerto in F; Letter to a Lady; Memoria; Mountainway Chant; Isba; Been Here and Gone; Suite Otis; Reflections in D; Rooms; Revelations; Gillespiana; Hermit Songs; Divining; Blues Suite; How to Walk an Elephant
"Merrick, NY, USA",Calhoun High School,
"Mexico City, Mexico","Teatro de Bellas Artes; Sala Miguel Covarrubias, Centro Cultural Universitario",Gazelle; The Still Point; Night Creature; Butterfly; Cry; Love Songs; The Lark Ascending; Treading; Passage; Concerto in F; Memoria; Phases; Later That Day; Facets; Suite Otis; The River; Rainbow 'Round My Shoulder; Pas de Duke; Streams; Revelations; Blues Suite
"Miami Beach, FL, USA",Jackie Gleason Theater of the Performing Arts,Suite Otis; The Lark Ascending; Blues Suite; Bad Blood; The Stack-Up; Night Creature; Revelations; Journey; Treading; Survivors; Concerto in F; Divining; Caverna Magica; Vespers; Love Songs
"Miami, FL, USA",Miami Beach Theater,Spectrum; The Still Point; The Stack-Up; Lullaby for a Jazz Baby; Night Creature; Cry; Love Songs; Blueshift; Landscape; The Lark Ascending; Fever Swamp; Treading; Fontessa and Friends; Concerto in F; Memoria; Phases; Isba; Pigs and Fishes; The River; Inside; Revelations; Research; Songs Without Words; Blues Suite
"Middelburg, Netherlands",Schouwburg,Lament; Metallics; The Road of the Phoebe Snow; Revelations
"Middlebury, VT, USA","Wright Memorial Theatre, Middlebury College",Cry; Blues Suite; Rainbow 'Round My Shoulder; Revelations
"Middletown, NY, USA",Middletown High School Auditorium,Blues Suite; Streams; Revelations
"Milan, Italy",Piccolo Teatro; Teatro Nazionale,Speeds; The Stack-Up; Night Creature; Cry; Love Songs; The Lark Ascending; The Road of the Phoebe Snow; Treading; Survivors; Vespers; Caverna Magica; Suite Otis; Bad Blood; Reflections in D; Revelations; The Magic of Katherine Dunham; Divining; Blues Suite; Toccata
"Millersville, PA, USA","Lyte Auditorium, Millersville State College",The Road of the Phoebe Snow; Blues Suite
"Milwaukee, WI, USA","Dance Studio, University of Wisconsin Milwaukee; Uihlein Hall, Performing Arts Center; Pabst Theatre, University of Wisconsin; Alverno Auditorium, Alverno College",Gazelle; The Still Point; The Stack-Up; Night Creature; Butterfly; Divining; Tell It Like It Is; Flowers; Cry; Quintet; Love Songs; Choral Dances; Shards; Treading; Concerto in F; Vespers; Memoria; The Time Before the Time After (After the Time Before); Phases; Echoes in Blue; Icarus; Hobo Sapiens; Suite Otis; Liberian Suite; Reflections in D; Streams; Revelations; Les Noces; Hidden Rites; After Eden; Blues Suite; Toccata
"Minneapolis, MN, USA","Northrop Memorial Auditorium, University of Minnesota; University of Minnesota",The Stack-Up; Dance for Six; Flowers; Kinetic Molpai; Cry; The Lark Ascending; The Road of the Phoebe Snow; Fever Swamp; Treading; Concerto in F; Memoria; The Time Before the Time After (After the Time Before); Phases; Later That Day; Pigs and Fishes; The Wedding; Clear Songs After Rain; Suite Otis; Rainbow 'Round My Shoulder; Streams; Revelations; Les Noces; The Magic of Katherine Dunham; Divining
"Mito, Japan",Ibaraki Kenritsu Kenmin Bunka Center,Suite Otis; Cry; Concerto in F; Revelations
"Modena, Italy",Teatro Grande in Piazza,Cry; Blues Suite; Seven Journeys; Revelations
"Mombasa, Kenya",Chandria Hall,Lament; Congo Tango Palace; Revelations; Metallics; Blues Suite
"Montclair, NJ, USA",Montclair High School Auditorium,Fanga; Feast of Ashes; Night Creature; Revelations; Journey
"Montevideo, Uruguay",Teatro Solis,Facets; Night Creature; Revelations
"Montgomery, WV, USA","Keyton Theater, part of W. Virginia Colleges",
"Montreal, Quebec, Canada","Salle Wilfrid-Pelletier, Place des Arts; Place des Arts",Speeds; The Stack-Up; Night Creature; Butterfly; Cry; Love Songs; Treading; Memoria; Later That Day; Caverna Magica; Suite Otis; Inside; Caravan; Rainbow 'Round My Shoulder; Streams; Revelations; Les Noces; Divining; Blues Suite
"Moorhead, MN, USA","Center For The Arts Auditorium, Moorhead State College",Time Out of Mind; Blues Suite; Revelations
"Moscow, Russia, U.S.S.R.",Variety Theater,Masekela Langage; The Road of the Phoebe Snow; Congo Tango Palace; The Prodigal Prince; Poeme; Reflections in D; Icarus; Streams; Revelations; Journey; Metallics; Dance for Six; Blues Suite; Toccata
"Mount Pleasant, MI, USA","Warner Auditorium, Central Michigan University",The Road of the Phoebe Snow; Blues Suite; Threnody
"Muncie, IN, USA","Emens Auditorium, Ball State University",Icarus; Revelations; Journey; Blues Suite; Toccata
"Munich, Germany",Bayerische Staatsoper Nationaltheater; Deutsches Theater,The Stack-Up; Night Creature; Episodes; Cry; Shards; Landscape; The Road of the Phoebe Snow; Treading; Vespers; Night Shade; For 'Bird' - With Love; Memoria; Come and Get the Beauty of It Hot; Suite Otis; Bad Blood; Rooms; Rainbow 'Round My Shoulder; Revelations; Streams; Chelsea's Bells; Hermit Songs; Divining; Blues Suite; Toccata
"Münster, Germany",Stadtische Bühnen,Rooms; Come and Get the Beauty of It Hot; Revelations
"Nagoya, Japan",Aichiken Bunka Kaikan; Nagoya Shimin Kaikan,Mountainway Chant; Cry; Been Here and Gone; Streams; Revelations; Gillespiana; Roots of the Blues; According to Eve; Letter to a Lady; Blues Suite
"Nairobi, Kenya",City Hall,Lament; The Prodigal Prince; Congo Tango Palace; Revelations; Metallics; Blues Suite
"Nanchang, China",Nanchang Railroad Workers' Cultural Palace,Memoria; Night Creature; Revelations; Concerto in F; Cry
"Nashville, TN, USA","Andrew Jackson Hall; Kean Hall, A&I State University",Memoria; The River; Reflections in D; Icarus; Night Creature; Rainbow 'Round My Shoulder; Revelations; Blues Suite; Toccata; Love Songs
"Nervi, Italy",Teatro al Parchi; Open Air Theater,Memoria; Spectrum; Phases; Blues Suite; Pigs and Fishes; Sonnets; Night Creature; Rainbow 'Round My Shoulder; Streams; Revelations; Treading; Fontessa and Friends; Concerto in F; Cry
"Neuss, West Germany",Stadthalle,Suite Otis; Memoria; Night Creature; Revelations; Fontessa and Friends; Cry
"New Brunswick, NJ, USA","State Theatre, Rutgers University",Fanga; The Lark Ascending; Feast of Ashes; The Wedding; Rainbow 'Round My Shoulder; Revelations; Portrait of Billie; Blues Suite
"New Delhi, India",Kamani Hall,Gazelle; Cry; The Road of the Phoebe Snow; The Lark Ascending; Night Creature; Rainbow 'Round My Shoulder; Streams; Journey; Revelations; Blues Suite; Facets
"New Haven, CT, USA",,
"New London, CT, USA","Palmer Auditorium, Connecticut College",Masekela Langage; Labyrinth; Journey; Dance for Six; Mary Lou's Mass; Kinetic Molpai; Cry; Quintet; Love Songs; Shards; The Lark Ascending; The Road of the Phoebe Snow; Treading; Light; Poeme; Icarus; Suspensions; Reflections in D; Carmina Burana; Rainbow 'Round My Shoulder; Streams; Gillespiana; Metallics; Revelations; Hidden Rites; Hermit Songs; Divining; Blues Suite; Toccata
"New London, NH, USA","Sawyer Auditorium, Colby College",Lament; The Prodigal Prince; Congo Tango Palace; Revelations; Metallics
"New Orleans, LA, USA",Saenger Theatre; Municipal Auditorium; Amphitheatre,Masekela Langage; The Stack-Up; Night Creature; Butterfly; Journey; Cry; Love Songs; The Road of the Phoebe Snow; Feast of Ashes; Fever Swamp; Treading; Fontessa and Friends; Vespers; Night Shade; Memoria; The Time Before the Time After (After the Time Before); Phases; Pigs and Fishes; Suite Otis; Bad Blood; Carmina Burana; Rainbow 'Round My Shoulder; Streams; Revelations; After Eden; Songs Without Words; Blues Suite; Toccata
"New Paltz, NY, USA",State University College,Blues Suite
"New Rochelle, NY, USA",Loew's Theatre,Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"New Wilmington, PA, USA","Will W. Orr Auditorium, Westminster College",Icarus; Revelations; Journey; Blues Suite; Toccata
"New York City, NY, USA","Metropolitan Opera House; City Center 55th Street Theater; Staten Island Community College; Davis Hall, City College; Clark Center for the Performing Arts, Westside YWCA; Brooklyn Academy of Music; Bond International Casino; The Music Hall, Sailors' Snug Harbor; Church of the Master; PS 175, Garnet Public School; Liberty Park; Steps of Metropolitan Opera House; The Waldorf Astoria; Bronx Community College; Spencer Memorial Church; Kaufmann Concert Hall, The Dance Center of the YM-YWHA; Queensborough Community College; 1515 Broadway; New York State Theater; Lewisohn Stadium; Canarsie High School Auditorium; Madison Square Garden; Van Cortlandt Park, NY; Palladium; Village Gate; Harlem School of the Arts, Inc./State University of New York; St. Peter's Church; Douglas Fairbanks Theater; Delacorte Theater, Central Park; Lehman Center for the Performing Arts, Lehman College, City University of New York; New York Public Library 42nd Street; Billy Rose Theatre; Hunter College Playhouse; Prospect Park; Americana Hotel; Apollo Theatre; Newhouse Theater, Lincoln Center; The Mall, Central Park; Cloves Lake Park; Ailey Dance Center; Theatre-in-the-Park, Central Park; New York State Pavilion, World's Fair; Cathedral of St. John The Divine; Philharmonic Hall, Lincoln Center; ANTA Theatre; Fashion Institute of Technology; Alice Tully Hall; Whitman Auditorium, Brooklyn College","Mourner's Bench; Spectrum; Masekela Langage; The Mooche; Episodes; Journey; The Black Belt; Dance for Six; Lament; District Storyville; Shards; The Road of the Phoebe Snow; The Wait; Medusa; MASS - A Theatre Piece for Singers, Players and Dancers; Concerto in F; Nubian Lady; Pigs and Fishes; According to Eve; Come and Get the Beauty of It Hot; Canticle of the Elements; Liberian Suite; Three Black Kings; To Jose Clemente Orozco; Reflections in D; Streams; Research; Gillespiana; Chelsea's Bells; Hermit Songs; Satyriade; After Eden; Waves; Gazelle; Flowers; Anjour: Ruminations on Dudley; Cry; Landscape; Black, Brown and Beige; Feast of Ashes; Passage; For 'Bird' - With Love; Tilt; Night Shade; Memoria; Fire Sermon; Precipice; Opus McShann; Threnody; The Wedding; Icarus; Archipelago; Nocturne; Portrait of Billie; Sonera; Caverna Magica; From the Mountains of Taubalu; Myth; Sunrise... Sunset; Congo Tango Palace; Bad Blood; The River; Countdown; Places; Inside; Choros; Revelations; Metallics; Collage; Divining; Time Out of Mind; The Prodigal Prince; Witness; Continental American Suite; The Stack-Up; Lullaby for a Jazz Baby; Creation of the World; Butterfly; How Long Have It Been; Tell It Like It Is; Kinetic Molpai; Quintet; Choral Dances; Black Unionism; Escapades; Fever Swamp; Fontessa and Friends; Roots of the Blues; Variegations; Three for Now; Coverage II; Child of the Earth; Ariette Oubliee; Later That Day; Poeme; Been Here and Gone; Sonnets; Clear Songs After Rain; Paz; Gymnopedies; Spell; Sarong Paramaribo; Suspensions; Fanga; Suite Otis; Crossword; Blood Memories; Rainbow 'Round My Shoulder; Pas de Duke; The Magic of Katherine Dunham; Spirituals; Hidden Rites; Songs Without Words; Toccata; The Still Point; Speeds; Cinco Latinos; Night Creature; Mingus; The Beloved; Mary Lou's Mass; Missa Brevis; Blueshift; Love Songs; The Lark Ascending; Ancestral Voices; Suspension; Treading; Survivors; Letter to a Lady; Vespers; Light; The Time Before the Time After (After the Time Before); Ode and Homage; Echoes in Blue; Phases; Isba; Blood Burning Moon; Panambi; Hobo Sapiens; Facets; Caravan; The Cageling; Carmina Burana; Les Noces; Labyrinth; Knoxville: Summer of 1915; Blues Suite; Seven Journeys; How to Walk an Elephant"
"Newark, DE, USA","Wilmington High School; Student Center Auditorium, Delaware State College; Milford High School; Mitchell Hall, University of Delaware; University of Delaware",Quintet; Congo Tango Palace; Blues Suite; Reflections in D; Revelations; Cry; Myth
"Newark, NJ, USA",Newark Symphony Hall,Suite Otis; Shards; The Lark Ascending; Masekela Langage; Blues Suite; Nubian Lady; Night Creature; Streams; Revelations; Treading; Tell It Like It Is; Divining; Flowers; Caverna Magica; Vespers; Love Songs
"Newburgh, NY, USA","Aquinas Hall Theatre, Mount St. Mary College",Fanga; Revelations; Journey; Dance for Six; Cry
"Niagara, NY, USA","Student Center, Niagara University; Niagara University",Icarus; Revelations; The Black Belt; Quintet; Toccata
"Nijmegen, Netherlands",Stadsschouwburg,The Road of the Phoebe Snow; Reflections in D; Revelations; Blues Suite; Toccata
"Niš, Socialist Federal Republic of Yugoslavia",,Lament; The Road of the Phoebe Snow; The Prodigal Prince; Revelations; Blues Suite
"Nobeoka, Japan",Noguchi Kinekan,Mountainway Chant; Been Here and Gone; Revelations; Gillespiana; Roots of the Blues; Letter to a Lady
"Norfolk, VA, USA","Center Theatre, Norfolk State; Chrysler Hall",Suite Otis; Cry; Blues Suite; Bad Blood; Night Creature; Revelations; Journey; Treading; Divining; Caverna Magica
"Normal, IL, USA","Union Auditorium, Illinois State University",Liberian Suite; Echoes in Blue; Reflections in D; Streams; Night Creature; Revelations; Cry
"Northfield, MA, USA","Northfield School Auditorium, The Northfield Schools",The Black Belt; Journey; Knoxville: Summer of 1915; Blues Suite
"Northfield, MN, USA","Skoglund Center Auditorium, St. Olaf College",Blues Suite; Dance for Six; Revelations
"Numazu, Japan",Numazu Shimin Bunka Center,Cry; The Stack-Up; Blues Suite; Revelations
"Nuremberg, Germany",,
"Odense, Denmark",Odense Concerthus,The Stack-Up; Cry; Night Creature; Revelations
"Oklahoma City, OK, USA","Civic Center Music Hall; Northwest Classen High School; Fine Arts Auditorium, Oklahoma City University; Moon Junior High School",Blues Suite; Icarus; Night Creature; Revelations; Dance for Six; Hermit Songs; After Eden; Cry; Love Songs
"Olite, Spain",Outdoor theater,Suite Otis; The Stack-Up; Night Creature; Revelations; Treading; Divining; Cry
"Omaha, NE, USA",Westside High School Auditorium; Burke High School; University of Nebraska Omaha; Orpheum Theater; Afro-Academy,Memoria; The Lark Ascending; Liberian Suite; Isba; Blues Suite; Pigs and Fishes; The Stack-Up; Fever Swamp; Rainbow 'Round My Shoulder; Revelations; Fontessa and Friends; Concerto in F; Dance for Six; Songs Without Words; Cry; Love Songs
"Oneida, NY, USA",,Icarus; Revelations; Journey; Blues Suite; Toccata
"Oneonta, NY, USA","Alumni Hall, State University College Oneonta",The Black Belt; Blues Suite; Revelations
"Opatija, Socialist Federal Republic of Yugoslavia",Opatija Summer Stage,Congo Tango Palace; Reflections in D; Metallics; The Beloved; Toccata
"Oran, Algeria",National Theater,Metallics; Blues Suite; Toccata; Revelations
"Osaka, Japan",Osaka Sankei Hall; Osaka Festival Hall; Osaka Kosei Nenkin Kaikan,Speeds; The Stack-Up; Night Creature; Cry; Love Songs; Treading; Fontessa and Friends; Roots of the Blues; Concerto in F; Letter to a Lady; For 'Bird' - With Love; Night Shade; Tilt; Memoria; Mountainway Chant; Precipice; Phases; Isba; Pigs and Fishes; Been Here and Gone; According to Eve; Suite Otis; The River; Inside; Streams; Revelations; Gillespiana; Divining; Blues Suite
"Osimo, Italy",Cathedral of Osimo Square,Reflections in D; Blues Suite; The Prodigal Prince; Toccata
"Oslo, Norway",Oslo Concerthouse,Suite Otis; Cry; Speeds; Blues Suite; Pigs and Fishes; The Stack-Up; Night Creature; Fever Swamp; Revelations; Treading; Fontessa and Friends; Concerto in F; Portrait of Billie; Divining; Caverna Magica; Love Songs
"Ottawa, Ontario, Canada","Opera House, National Arts Centre; National Arts Centre",Suite Otis; Memoria; The Time Before the Time After (After the Time Before); Later That Day; The Stack-Up; Inside; Night Creature; Revelations; Les Noces; Concerto in F; Divining; Cry
"Palermo, Italy",Teatro Massimo,Memoria; Cry; Spectrum; Phases; Night Creature; Streams; Revelations; Treading; Fontessa and Friends; Concerto in F; Blues Suite
"Palm Desert, CA, USA","Bob Hope Cultural Center; McCallum Theatre, Bob Hope Cultural Center",Shards; Masekela Langage; The Stack-Up; Streams; Revelations; Tell It Like It Is; Divining; Blues Suite; Love Songs
"Palm Springs, CA, USA",Palm Springs High School Auditorium,Icarus; Revelations; Journey; Blues Suite; Toccata
"Palo Alto, CA, USA","Memorial Auditorium, Stanford University",The Lark Ascending; Carmina Burana; Rainbow 'Round My Shoulder; Streams; Metallics; Revelations; How Long Have It Been; Dance for Six; Kinetic Molpai; Cry; Missa Brevis; Love Songs
"Paris, France",Théâtre de la Ville; Palais des Sports; Théâtre des Champs-Élysées; Hotel du Rohan; Théâtre des Nations; Grand Palais des Champs-Élysées,Gazelle; Masekela Langage; The Stack-Up; Night Creature; Journey; Butterfly; The Beloved; Divining; Dance for Six; Cry; Love Songs; Lament; District Storyville; The Road of the Phoebe Snow; Coverage II; For 'Bird' - With Love; Tilt; Fire Sermon; Memoria; Nubian Lady; Icarus; According to Eve; Portrait of Billie; Hobo Sapiens; Myth; Sunrise... Sunset; Suite Otis; Congo Tango Palace; Reflections in D; Rooms; Rainbow 'Round My Shoulder; Streams; Revelations; Gillespiana; Carmina Burana; The Magic of Katherine Dunham; Hidden Rites; Hermit Songs; After Eden; Blues Suite; Toccata
"Pasadena, CA, USA",Pasadena Civic Auditorium,Suite Otis; Precipice; Phases; Isba; Blueshift; Pigs and Fishes; The Stack-Up; Inside; Fever Swamp; Revelations; Fontessa and Friends; Cry; Night Shade; Love Songs
"Pasay, Philippines","Folk Arts Theater, Cultural Center of the Philippines; Theater for the Performing Arts, Cultural Center of the Philippines",Gazelle; The Lark Ascending; The Road of the Phoebe Snow; The Wait; Blues Suite; Night Creature; Rainbow 'Round My Shoulder; Streams; Revelations; After Eden; Cry; Facets; Love Songs
"Pendleton, OR, USA",The Vert,Icarus; Revelations; Journey; Blues Suite; Toccata
"Perth, Australia",Perth Entertainment Center,Suite Otis; Lament; Memoria; Speeds; Isba; The Stack-Up; How to Walk an Elephant; Night Creature; Revelations; Treading; Fontessa and Friends; Concerto in F; Divining; Cry; Love Songs
"Petersburg, VA, USA","Virginia Hall Auditorium, Virginia State College",
"Philadelphia, PA, USA","Walnut Street Theatre; New Locust Theatre; Shubert Theatre; Locust Street Theatre; Academy of Music; Plays and Players Theater; Fleisher Auditorium, YM/YWHA Arts Council Series","Masekela Langage; The Mooche; Journey; Dance for Six; District Storyville; Shards; MASS - A Theatre Piece for Singers, Players and Dancers; Concerto in F; Pigs and Fishes; According to Eve; Liberian Suite; Three Black Kings; Reflections in D; Streams; Gillespiana; Gazelle; Flowers; Cry; For 'Bird' - With Love; Tilt; Night Shade; Memoria; Fire Sermon; Opus McShann; The Wedding; Icarus; Portrait of Billie; Caverna Magica; From the Mountains of Taubalu; Myth; Sunrise... Sunset; Congo Tango Palace; Bad Blood; The River; Places; Inside; Choros; Revelations; Metallics; Collage; Divining; Witness; The Stack-Up; Butterfly; How Long Have It Been; Tell It Like It Is; Kinetic Molpai; Choral Dances; Fever Swamp; Fontessa and Friends; Later That Day; Suite Otis; Fanga; Blood Memories; Pas de Duke; Rainbow 'Round My Shoulder; Hidden Rites; Songs Without Words; Toccata; The Still Point; Speeds; Night Creature; Mary Lou's Mass; Missa Brevis; Love Songs; The Lark Ascending; Treading; Survivors; Vespers; Light; The Time Before the Time After (After the Time Before); Echoes in Blue; Phases; Isba; Hobo Sapiens; Facets; Caravan; Carmina Burana; Les Noces; Blues Suite"
"Pittsburgh, PA, USA","Heinz Hall for the Performing Arts; Carnegie Mellon University; Syria Mosque; Civic Arena; Playhouse Performing Arts Center, Point Park University; Washington-Jefferson; University of Pittsburgh; Swickley Academy; Chatham College; Benedum Center",Gazelle; The Stack-Up; Night Creature; Cry; Love Songs; Shards; The Lark Ascending; Fever Swamp; Treading; Concerto in F; Phases; Pigs and Fishes; Portrait of Billie; Hobo Sapiens; Suite Otis; Fanga; Blood Memories; Congo Tango Palace; Three Black Kings; Reflections in D; Carmina Burana; Rainbow 'Round My Shoulder; Streams; Revelations; Divining; Blues Suite; Toccata
"Plainfield, NJ, USA",Plainfield High School; North Plainfield High School,The Black Belt; Journey; Knoxville: Summer of 1915; Blues Suite
"Plattsburgh, NY, USA","Hawkins Hall, Plattsburgh State University College",
"Portland, ME, USA","City Hall Auditorium; Alumni Gymnasium, Bates College",Blues Suite; Reflections in D; Icarus; Streams; Revelations; Dance for Six; Hermit Songs; Mary Lou's Mass; Cry; Toccata; Myth
"Portland, OR, USA",Civic Auditorium; Lewis and Clark High School; Public Auditorium; Judson High School,Gazelle; The Still Point; The Mooche; Night Creature; Butterfly; How Long Have It Been; Dance for Six; Kinetic Molpai; Cry; The Lark Ascending; Treading; Concerto in F; Memoria; The Time Before the Time After (After the Time Before); Phases; Later That Day; Icarus; Portrait of Billie; Panambi; Myth; Suite Otis; The River; Carmina Burana; Rainbow 'Round My Shoulder; Revelations; Les Noces; Blues Suite
"Porto Santo Stefano, Italy",,
"Potsdam, NY, USA","College Theater, State University of New York Potsdam",
"Prague, Czechoslovak Socialist Republic",Smetana Theater,Suite Otis; Night Creature; Streams; Revelations; Butterfly; Portrait of Billie; Cry; Tilt; Love Songs
"Princeton, NJ, USA","McCarter Theatre, Princeton University",Time Out of Mind; Masekela Langage; Witness; Trane' in Three; The Stack-Up; Night Creature; Journey; Butterfly; The Beloved; Divining; Dance for Six; Tell It Like It Is; Mary Lou's Mass; Flowers; Cry; Love Songs; Choral Dances; Shards; The Lark Ascending; Feast of Ashes; Fever Swamp; Treading; Fontessa and Friends; Roots of the Blues; Survivors; Concerto in F; For 'Bird' - With Love; Vespers; Memoria; The Time Before the Time After (After the Time Before); Echoes in Blue; Isba; Opus McShann; Nubian Lady; Pigs and Fishes; Been Here and Gone; Archipelago; Myth; Liberian Suite; Bad Blood; Reflections in D; Rainbow 'Round My Shoulder; Streams; Revelations; Gillespiana; Carmina Burana; Hidden Rites; Hermit Songs; After Eden; Caverna Magica; Toccata
"Providence, RI, USA","Brown University; Veterans' Memorial Auditorium, Brown University",Icarus; Revelations; Journey; Dance for Six; Toccata
"Pula, Socialist Federal Republic of Yugoslavia",Istra National Theater,Congo Tango Palace; Reflections in D; Metallics; The Beloved; Toccata
"Purchase, NY, USA","Summer Arts Festival, State University of New York Purchase",Cry; Isba; Pigs and Fishes; The Stack-Up; Night Creature; Fever Swamp; Revelations; Treading; Fontessa and Friends; Songs Without Words; Blues Suite; Night Shade; Love Songs
"Rabat, Morocco",Mohammed V Theater,Icarus; Revelations; Journey; Blues Suite; Toccata
"Raleigh, NC, USA","William Neal Reynolds Coliseum, North Carolina State University",Cry; The Stack-Up; Streams; Revelations; Blues Suite; Love Songs
"Rangoon, Burma",Jubilee Hall,Mountainway Chant; Been Here and Gone; Revelations; Gillespiana; The Beloved; Roots of the Blues
"Red Bank, NJ, USA","Maurice Levin Auditorium, YM-YWHA of Essex County; Carlton Theater",Congo Tango Palace; Blues Suite; Threnody; Reflections in D; Revelations; Quintet; Toccata
"Redding, CA, USA","Shasta Union High School, Nova High School Auditorium",Icarus; Revelations; Journey; Blues Suite; Toccata
"Reggio Emilia, Italy",Teatro Municipale Valli,Memoria; Phases; The River; Pigs and Fishes; The Stack-Up; Night Creature; Streams; Revelations; Treading; Fontessa and Friends; Concerto in F; Satyriade; Cry
"Reno, NV, USA",Pioneer Theater Auditorium,Icarus; Revelations; Journey; Blues Suite; Toccata
"Richmond, IN, USA","Goddard Auditorium, Earlham College",Icarus; Revelations; Journey; Blues Suite; Toccata
"Richmond, VA, USA","Virginia Museum Theatre, University of Virginia; Shrine Mosque Auditorium; Carpenter Center; Loew's Theatre, Virginia Center for the Performing Arts",Speeds; The Stack-Up; Night Creature; Journey; Dance for Six; Mary Lou's Mass; Cry; Love Songs; Landscape; The Lark Ascending; Fever Swamp; Suspension; Treading; Fontessa and Friends; Pigs and Fishes; Threnody; Icarus; Myth; Suite Otis; Liberian Suite; Revelations; Hidden Rites; Hermit Songs; Divining; Songs Without Words; Blues Suite; Toccata
"Ridgewood, NJ, USA",Benjamin Franklin Junior High School,Blues Suite; Dance for Six; Revelations
"Rio de Janeiro, Brazil",Estadio do Maracanazinhu; Teatro Municipal,Gazelle; The Still Point; Night Creature; Butterfly; Cry; Love Songs; The Lark Ascending; Treading; Passage; Concerto in F; Memoria; Light; The Time Before the Time After (After the Time Before); Phases; Later That Day; Icarus; Facets; Suite Otis; The River; Reflections in D; Rainbow 'Round My Shoulder; Pas de Duke; Streams; Gillespiana; Revelations; Blues Suite
"Ripon, WI, USA",Ripon College Memorial Hall,Blues Suite; Dance for Six; Revelations
"Riverside, CA, USA","University Theatre, University of California Riverside; Riverside Municipal Auditorium",Congo Tango Palace; The Prodigal Prince; Reflections in D; Icarus; Revelations; Journey; Blues Suite; Toccata
"Rochester, NY, USA","Eastman Theatre, Rochester School of Music; Nazareth Arts Center, Nazareth College; East High School",Night Creature; Journey; Butterfly; Dance for Six; Flowers; Cry; Quintet; Love Songs; Lament; The Lark Ascending; Feast of Ashes; Fire Sermon; Memoria; The Time Before the Time After (After the Time Before); Echoes in Blue; Later That Day; Nubian Lady; The Wedding; Icarus; Portrait of Billie; Myth; Suite Otis; Fanga; Liberian Suite; Congo Tango Palace; Inside; Rainbow 'Round My Shoulder; Streams; Revelations; Metallics; Choros; Carmina Burana; Hidden Rites; Hermit Songs; After Eden; Blues Suite; Toccata
"Rome, Italy",Teatro Tendasdrichi; Teatro Olimpico; Teatro dell'Opera,The Stack-Up; Night Creature; Cry; Lament; Landscape; Shards; The Road of the Phoebe Snow; Treading; Fontessa and Friends; Concerto in F; Phases; Come and Get the Beauty of It Hot; Suite Otis; Congo Tango Palace; Reflections in D; Rooms; Rainbow 'Round My Shoulder; Revelations; Hermit Songs; Blues Suite; Toccata
"Rotterdam, Netherlands",Schouwburg,Lament; Metallics; The Road of the Phoebe Snow; Revelations
"Royan, France",2nd International Festival of Contemporary Art,Lament; The Road of the Phoebe Snow; Congo Tango Palace; Reflections in D; Revelations; Gillespiana; Hermit Songs; Blues Suite
"Ruston, LA, USA","Howard Auditorium, Louisiana Tech University",The Road of the Phoebe Snow; Cry; Streams; Revelations
